iter 0: loss 10.8481, time 14817.07ms, mfu -100.00%
iter 10: loss 10.8315, time 343.75ms, mfu 1.18%
iter 20: loss 10.8313, time 348.76ms, mfu 1.18%
iter 30: loss 10.8077, time 343.38ms, mfu 1.18%
iter 40: loss 10.7704, time 343.73ms, mfu 1.18%
iter 50: loss 10.6867, time 343.89ms, mfu 1.18%
iter 60: loss 10.6302, time 343.96ms, mfu 1.18%
iter 70: loss 10.5344, time 343.95ms, mfu 1.18%
iter 80: loss 10.4827, time 347.30ms, mfu 1.18%
iter 90: loss 10.3990, time 344.09ms, mfu 1.18%
iter 100: loss 10.3117, time 343.95ms, mfu 1.18%
iter 110: loss 10.2424, time 344.42ms, mfu 1.18%
iter 120: loss 10.1474, time 344.19ms, mfu 1.18%
iter 130: loss 10.0717, time 344.40ms, mfu 1.18%
iter 140: loss 9.9603, time 344.38ms, mfu 1.18%
iter 150: loss 9.8575, time 344.38ms, mfu 1.18%
iter 160: loss 9.7571, time 344.69ms, mfu 1.18%
iter 170: loss 9.6300, time 345.06ms, mfu 1.18%
iter 180: loss 9.4630, time 344.93ms, mfu 1.18%
iter 190: loss 9.3293, time 344.72ms, mfu 1.18%
iter 200: loss 9.2073, time 345.13ms, mfu 1.18%
iter 210: loss 9.0210, time 345.19ms, mfu 1.18%
iter 220: loss 8.8707, time 345.19ms, mfu 1.18%
iter 230: loss 8.7144, time 345.18ms, mfu 1.18%
iter 240: loss 8.5413, time 345.62ms, mfu 1.18%
iter 250: loss 8.3536, time 348.55ms, mfu 1.17%
iter 260: loss 8.1920, time 345.28ms, mfu 1.17%
iter 270: loss 8.0177, time 345.42ms, mfu 1.17%
iter 280: loss 7.8425, time 345.61ms, mfu 1.17%
iter 290: loss 7.6509, time 345.93ms, mfu 1.17%
iter 300: loss 7.4252, time 346.09ms, mfu 1.17%
iter 310: loss 7.1614, time 346.04ms, mfu 1.17%
iter 320: loss 6.9527, time 345.84ms, mfu 1.17%
iter 330: loss 6.8113, time 346.17ms, mfu 1.17%
iter 340: loss 6.5628, time 346.20ms, mfu 1.17%
iter 350: loss 6.3815, time 346.10ms, mfu 1.17%
iter 360: loss 6.1981, time 346.02ms, mfu 1.17%
iter 370: loss 6.0181, time 345.58ms, mfu 1.17%
iter 380: loss 5.9217, time 345.93ms, mfu 1.17%
iter 390: loss 5.6828, time 345.76ms, mfu 1.17%
iter 400: loss 5.6029, time 348.48ms, mfu 1.17%
iter 410: loss 5.3850, time 345.57ms, mfu 1.17%
iter 420: loss 5.2710, time 345.70ms, mfu 1.17%
iter 430: loss 5.2027, time 345.59ms, mfu 1.17%
iter 440: loss 5.1336, time 345.66ms, mfu 1.17%
iter 450: loss 4.9927, time 345.49ms, mfu 1.17%
iter 460: loss 4.9723, time 345.81ms, mfu 1.17%
iter 470: loss 4.9876, time 345.63ms, mfu 1.17%
iter 480: loss 4.8811, time 345.49ms, mfu 1.17%
iter 490: loss 4.8132, time 345.35ms, mfu 1.17%
iter 500: loss 4.8943, time 345.64ms, mfu 1.17%
iter 510: loss 4.6868, time 345.59ms, mfu 1.17%
iter 520: loss 4.6645, time 345.56ms, mfu 1.17%
iter 530: loss 4.5790, time 345.80ms, mfu 1.17%
iter 540: loss 4.5272, time 345.50ms, mfu 1.17%
iter 550: loss 4.5879, time 345.75ms, mfu 1.17%
iter 560: loss 4.4639, time 345.90ms, mfu 1.17%
iter 570: loss 4.4537, time 345.94ms, mfu 1.17%
iter 580: loss 4.3530, time 345.76ms, mfu 1.17%
iter 590: loss 4.3115, time 345.74ms, mfu 1.17%
iter 600: loss 4.2734, time 345.32ms, mfu 1.17%
iter 610: loss 4.2540, time 345.66ms, mfu 1.17%
iter 620: loss 4.1453, time 345.84ms, mfu 1.17%
iter 630: loss 4.1956, time 345.81ms, mfu 1.17%
iter 640: loss 4.2009, time 345.53ms, mfu 1.17%
iter 650: loss 4.0354, time 345.61ms, mfu 1.17%
iter 660: loss 4.0809, time 345.75ms, mfu 1.17%
iter 670: loss 4.1925, time 345.87ms, mfu 1.17%
iter 680: loss 3.9689, time 345.70ms, mfu 1.17%
iter 690: loss 3.9971, time 345.46ms, mfu 1.17%
iter 700: loss 3.9713, time 345.53ms, mfu 1.17%
iter 710: loss 3.8034, time 345.39ms, mfu 1.17%
iter 720: loss 3.7955, time 345.86ms, mfu 1.17%
iter 730: loss 3.7530, time 345.69ms, mfu 1.17%
iter 740: loss 3.8571, time 345.88ms, mfu 1.17%
iter 750: loss 3.7189, time 345.84ms, mfu 1.17%
iter 760: loss 3.9403, time 345.58ms, mfu 1.17%
iter 770: loss 3.8447, time 345.40ms, mfu 1.17%
iter 780: loss 3.8157, time 345.81ms, mfu 1.17%
iter 790: loss 3.6827, time 345.61ms, mfu 1.17%
iter 800: loss 3.6974, time 345.63ms, mfu 1.17%
iter 810: loss 3.7047, time 345.37ms, mfu 1.17%
iter 820: loss 3.7072, time 345.43ms, mfu 1.17%
iter 830: loss 3.6253, time 345.65ms, mfu 1.17%
iter 840: loss 3.6403, time 345.54ms, mfu 1.17%
iter 850: loss 3.5727, time 345.65ms, mfu 1.17%
iter 860: loss 3.7022, time 345.43ms, mfu 1.17%
iter 870: loss 3.5287, time 345.42ms, mfu 1.17%
iter 880: loss 3.6241, time 345.87ms, mfu 1.17%
iter 890: loss 3.6590, time 345.37ms, mfu 1.17%
iter 900: loss 3.5718, time 345.53ms, mfu 1.17%
iter 910: loss 3.6467, time 345.50ms, mfu 1.17%
iter 920: loss 3.5538, time 345.64ms, mfu 1.17%
iter 930: loss 3.5197, time 345.36ms, mfu 1.17%
iter 940: loss 3.6033, time 345.56ms, mfu 1.17%
iter 950: loss 3.6205, time 347.12ms, mfu 1.17%
iter 960: loss 3.4082, time 345.21ms, mfu 1.17%
iter 970: loss 3.4229, time 345.47ms, mfu 1.17%
iter 980: loss 3.6568, time 345.56ms, mfu 1.17%
iter 990: loss 3.5121, time 345.28ms, mfu 1.17%
iter 1000: loss 3.4515, time 345.49ms, mfu 1.17%
iter 1010: loss 3.5072, time 345.67ms, mfu 1.17%
iter 1020: loss 3.3750, time 345.34ms, mfu 1.17%
iter 1030: loss 3.4656, time 345.38ms, mfu 1.17%
iter 1040: loss 3.3988, time 345.52ms, mfu 1.17%
iter 1050: loss 3.7060, time 345.44ms, mfu 1.17%
iter 1060: loss 3.4847, time 345.53ms, mfu 1.17%
iter 1070: loss 3.4000, time 345.46ms, mfu 1.17%
iter 1080: loss 3.5271, time 345.33ms, mfu 1.17%
iter 1090: loss 3.4047, time 345.51ms, mfu 1.17%
iter 1100: loss 3.4316, time 345.02ms, mfu 1.17%
iter 1110: loss 3.4135, time 345.31ms, mfu 1.17%
iter 1120: loss 3.4003, time 345.49ms, mfu 1.17%
iter 1130: loss 3.5175, time 345.34ms, mfu 1.17%
iter 1140: loss 3.3561, time 345.29ms, mfu 1.17%
iter 1150: loss 3.4548, time 345.11ms, mfu 1.17%
iter 1160: loss 3.4619, time 345.50ms, mfu 1.17%
iter 1170: loss 3.3905, time 345.33ms, mfu 1.17%
iter 1180: loss 3.5029, time 345.17ms, mfu 1.17%
iter 1190: loss 3.3593, time 345.36ms, mfu 1.17%
iter 1200: loss 3.2875, time 345.32ms, mfu 1.17%
iter 1210: loss 3.2648, time 345.50ms, mfu 1.17%
iter 1220: loss 3.2559, time 345.70ms, mfu 1.17%
iter 1230: loss 3.3456, time 345.07ms, mfu 1.17%
iter 1240: loss 3.3366, time 345.50ms, mfu 1.17%
iter 1250: loss 3.2618, time 345.29ms, mfu 1.17%
iter 1260: loss 3.3997, time 345.01ms, mfu 1.17%
iter 1270: loss 3.3782, time 345.20ms, mfu 1.17%
iter 1280: loss 3.1924, time 345.38ms, mfu 1.17%
iter 1290: loss 3.2804, time 345.07ms, mfu 1.17%
iter 1300: loss 3.2509, time 345.72ms, mfu 1.17%
iter 1310: loss 3.3605, time 345.15ms, mfu 1.17%
iter 1320: loss 3.3770, time 345.65ms, mfu 1.17%
iter 1330: loss 3.0845, time 345.38ms, mfu 1.17%
iter 1340: loss 3.2408, time 345.20ms, mfu 1.17%
iter 1350: loss 3.3895, time 345.26ms, mfu 1.17%
iter 1360: loss 3.4027, time 345.58ms, mfu 1.17%
iter 1370: loss 3.4072, time 345.10ms, mfu 1.17%
iter 1380: loss 3.2420, time 345.65ms, mfu 1.17%
iter 1390: loss 3.4606, time 345.38ms, mfu 1.17%
iter 1400: loss 3.1612, time 345.14ms, mfu 1.17%
iter 1410: loss 3.2067, time 345.23ms, mfu 1.17%
iter 1420: loss 3.2293, time 345.33ms, mfu 1.17%
iter 1430: loss 3.1808, time 345.50ms, mfu 1.17%
iter 1440: loss 3.4319, time 345.37ms, mfu 1.17%
iter 1450: loss 3.2876, time 345.35ms, mfu 1.17%
iter 1460: loss 3.2044, time 345.20ms, mfu 1.17%
iter 1470: loss 3.3911, time 345.04ms, mfu 1.17%
iter 1480: loss 3.2936, time 345.34ms, mfu 1.17%
iter 1490: loss 3.0472, time 345.43ms, mfu 1.17%
iter 1500: loss 3.1135, time 345.54ms, mfu 1.17%
iter 1510: loss 3.3546, time 345.18ms, mfu 1.17%
iter 1520: loss 3.1908, time 345.02ms, mfu 1.17%
iter 1530: loss 3.1823, time 345.47ms, mfu 1.17%
iter 1540: loss 3.3209, time 350.86ms, mfu 1.17%
iter 1550: loss 3.2863, time 345.41ms, mfu 1.17%
iter 1560: loss 3.1353, time 345.39ms, mfu 1.17%
iter 1570: loss 3.2371, time 345.17ms, mfu 1.17%
iter 1580: loss 3.0309, time 345.22ms, mfu 1.17%
iter 1590: loss 3.1090, time 345.33ms, mfu 1.17%
iter 1600: loss 3.0229, time 345.30ms, mfu 1.17%
iter 1610: loss 3.0461, time 345.29ms, mfu 1.17%
iter 1620: loss 3.0672, time 345.17ms, mfu 1.17%
iter 1630: loss 3.1364, time 345.29ms, mfu 1.17%
iter 1640: loss 3.1203, time 345.70ms, mfu 1.17%
iter 1650: loss 3.2160, time 350.31ms, mfu 1.17%
iter 1660: loss 3.2412, time 345.20ms, mfu 1.17%
iter 1670: loss 3.0745, time 345.16ms, mfu 1.17%
iter 1680: loss 3.1253, time 345.08ms, mfu 1.17%
iter 1690: loss 3.1398, time 345.26ms, mfu 1.17%
iter 1700: loss 3.1476, time 345.21ms, mfu 1.17%
iter 1710: loss 3.3728, time 347.68ms, mfu 1.17%
iter 1720: loss 3.0642, time 345.20ms, mfu 1.17%
iter 1730: loss 2.9425, time 345.31ms, mfu 1.17%
iter 1740: loss 3.0888, time 345.15ms, mfu 1.17%
iter 1750: loss 2.9858, time 345.44ms, mfu 1.17%
iter 1760: loss 3.1540, time 345.32ms, mfu 1.17%
iter 1770: loss 3.0759, time 345.11ms, mfu 1.17%
iter 1780: loss 3.0661, time 345.09ms, mfu 1.17%
iter 1790: loss 3.0993, time 344.94ms, mfu 1.17%
iter 1800: loss 3.0311, time 345.22ms, mfu 1.17%
iter 1810: loss 3.0782, time 345.24ms, mfu 1.17%
iter 1820: loss 2.9877, time 345.18ms, mfu 1.17%
iter 1830: loss 3.0659, time 345.38ms, mfu 1.17%
iter 1840: loss 3.0718, time 345.16ms, mfu 1.17%
iter 1850: loss 2.9416, time 345.32ms, mfu 1.17%
iter 1860: loss 3.0601, time 345.35ms, mfu 1.17%
iter 1870: loss 3.2216, time 345.53ms, mfu 1.17%
iter 1880: loss 2.9131, time 345.28ms, mfu 1.17%
iter 1890: loss 3.0531, time 345.16ms, mfu 1.17%
iter 1900: loss 2.9162, time 345.46ms, mfu 1.17%
iter 1910: loss 3.3166, time 345.25ms, mfu 1.17%
iter 1920: loss 3.0076, time 345.10ms, mfu 1.17%
iter 1930: loss 2.9916, time 345.20ms, mfu 1.17%
iter 1940: loss 3.1035, time 345.24ms, mfu 1.17%
iter 1950: loss 3.0344, time 345.07ms, mfu 1.17%
iter 1960: loss 2.9247, time 345.10ms, mfu 1.17%
iter 1970: loss 2.9330, time 345.23ms, mfu 1.17%
iter 1980: loss 2.9331, time 345.44ms, mfu 1.17%
iter 1990: loss 3.1143, time 345.41ms, mfu 1.17%
iter 2000: loss 3.1189, time 579.01ms, mfu 1.13%
