iter 0: loss 10.8481, time 15854.37ms, mfu -100.00%
iter 10: loss 10.8313, time 341.44ms, mfu 1.19%
iter 20: loss 10.8305, time 342.97ms, mfu 1.19%
iter 30: loss 10.8061, time 343.39ms, mfu 1.19%
iter 40: loss 10.7682, time 341.89ms, mfu 1.19%
iter 50: loss 10.6848, time 342.19ms, mfu 1.19%
iter 60: loss 10.6290, time 342.57ms, mfu 1.19%
iter 70: loss 10.5356, time 343.01ms, mfu 1.19%
iter 80: loss 10.4865, time 344.20ms, mfu 1.19%
iter 90: loss 10.4060, time 344.09ms, mfu 1.18%
iter 100: loss 10.3219, time 342.54ms, mfu 1.18%
iter 110: loss 10.2555, time 342.28ms, mfu 1.18%
iter 120: loss 10.1630, time 342.29ms, mfu 1.18%
iter 130: loss 10.0859, time 344.44ms, mfu 1.18%
iter 140: loss 9.9736, time 343.44ms, mfu 1.18%
iter 150: loss 9.8663, time 341.91ms, mfu 1.18%
iter 160: loss 9.7672, time 342.06ms, mfu 1.18%
iter 170: loss 9.6427, time 341.77ms, mfu 1.18%
iter 180: loss 9.4690, time 342.48ms, mfu 1.18%
iter 190: loss 9.3370, time 343.09ms, mfu 1.18%
iter 200: loss 9.2204, time 350.15ms, mfu 1.18%
iter 210: loss 9.0311, time 341.63ms, mfu 1.18%
iter 220: loss 8.8832, time 341.69ms, mfu 1.18%
iter 230: loss 8.7221, time 342.86ms, mfu 1.18%
iter 240: loss 8.5522, time 344.09ms, mfu 1.18%
iter 250: loss 8.3638, time 342.81ms, mfu 1.18%
iter 260: loss 8.1988, time 341.60ms, mfu 1.18%
iter 270: loss 8.0311, time 341.65ms, mfu 1.18%
iter 280: loss 7.8580, time 341.64ms, mfu 1.18%
iter 290: loss 7.6612, time 341.89ms, mfu 1.18%
iter 300: loss 7.4325, time 343.00ms, mfu 1.18%
iter 310: loss 7.1623, time 341.79ms, mfu 1.18%
iter 320: loss 6.9481, time 341.75ms, mfu 1.18%
iter 330: loss 6.8082, time 342.02ms, mfu 1.18%
iter 340: loss 6.5539, time 342.25ms, mfu 1.18%
iter 350: loss 6.3681, time 351.88ms, mfu 1.18%
iter 360: loss 6.1781, time 343.19ms, mfu 1.18%
iter 370: loss 5.9951, time 341.58ms, mfu 1.18%
iter 380: loss 5.9022, time 341.75ms, mfu 1.18%
iter 390: loss 5.6456, time 341.85ms, mfu 1.18%
iter 400: loss 5.5573, time 342.23ms, mfu 1.18%
iter 410: loss 5.3266, time 343.16ms, mfu 1.18%
iter 420: loss 5.2040, time 341.83ms, mfu 1.18%
iter 430: loss 5.1234, time 341.62ms, mfu 1.18%
iter 440: loss 5.0506, time 341.95ms, mfu 1.18%
iter 450: loss 4.8963, time 342.34ms, mfu 1.18%
iter 460: loss 4.8748, time 351.13ms, mfu 1.18%
iter 470: loss 4.8695, time 343.85ms, mfu 1.18%
iter 480: loss 4.7627, time 341.67ms, mfu 1.18%
iter 490: loss 4.6650, time 341.48ms, mfu 1.18%
iter 500: loss 4.7371, time 341.49ms, mfu 1.18%
iter 510: loss 4.5446, time 342.34ms, mfu 1.18%
iter 520: loss 4.4888, time 342.94ms, mfu 1.18%
iter 530: loss 4.3858, time 341.91ms, mfu 1.18%
iter 540: loss 4.3336, time 341.59ms, mfu 1.18%
iter 550: loss 4.3962, time 342.46ms, mfu 1.18%
iter 560: loss 4.2522, time 342.36ms, mfu 1.18%
iter 570: loss 4.2152, time 342.86ms, mfu 1.18%
iter 580: loss 4.0973, time 343.13ms, mfu 1.18%
iter 590: loss 4.0665, time 341.62ms, mfu 1.18%
iter 600: loss 4.0097, time 341.51ms, mfu 1.18%
iter 610: loss 3.9821, time 341.63ms, mfu 1.18%
iter 620: loss 3.8789, time 342.29ms, mfu 1.18%
iter 630: loss 3.9235, time 357.40ms, mfu 1.18%
iter 640: loss 3.9137, time 341.77ms, mfu 1.18%
iter 650: loss 3.7288, time 341.79ms, mfu 1.18%
iter 660: loss 3.7472, time 341.63ms, mfu 1.18%
iter 670: loss 3.9081, time 342.29ms, mfu 1.18%
iter 680: loss 3.6475, time 350.33ms, mfu 1.18%
iter 690: loss 3.6703, time 342.88ms, mfu 1.18%
iter 700: loss 3.6478, time 341.55ms, mfu 1.18%
iter 710: loss 3.4253, time 341.62ms, mfu 1.18%
iter 720: loss 3.4931, time 341.62ms, mfu 1.18%
iter 730: loss 3.3911, time 342.75ms, mfu 1.18%
iter 740: loss 3.4978, time 343.21ms, mfu 1.18%
iter 750: loss 3.3793, time 341.65ms, mfu 1.18%
iter 760: loss 3.6139, time 341.50ms, mfu 1.18%
iter 770: loss 3.4957, time 341.81ms, mfu 1.18%
iter 780: loss 3.4557, time 342.29ms, mfu 1.18%
iter 790: loss 3.3378, time 343.16ms, mfu 1.18%
iter 800: loss 3.3785, time 342.62ms, mfu 1.18%
iter 810: loss 3.3765, time 341.52ms, mfu 1.18%
iter 820: loss 3.3626, time 341.75ms, mfu 1.18%
iter 830: loss 3.2441, time 341.52ms, mfu 1.18%
iter 840: loss 3.2728, time 342.91ms, mfu 1.18%
iter 850: loss 3.1850, time 341.89ms, mfu 1.18%
iter 860: loss 3.2912, time 341.68ms, mfu 1.18%
iter 870: loss 3.1679, time 341.72ms, mfu 1.18%
iter 880: loss 3.2017, time 341.48ms, mfu 1.19%
iter 890: loss 3.2788, time 342.14ms, mfu 1.19%
iter 900: loss 3.2435, time 344.27ms, mfu 1.18%
iter 910: loss 3.2693, time 343.07ms, mfu 1.18%
iter 920: loss 3.1836, time 341.71ms, mfu 1.18%
iter 930: loss 3.0924, time 341.83ms, mfu 1.18%
iter 940: loss 3.2211, time 341.40ms, mfu 1.19%
